nr,gmina,rejon,miejscowosc,ulica,ilosc posesji,ilosc koszy,longitude,latitude
78,Gorzyce,R4,Gorzyce,Jana Pawła II,242,326,18.4080944,49.9598419
79,Gorzyce,R4,Gorzyce,Jesionowa,155,281,18.3971152,49.9610511
80,Gorzyce,R4,Gorzyce,Kasztanowa,273,384,18.3951787,49.9609992
81,Gorzyce,R4,Gorzyce,Klonowa,134,218,18.3982099,49.9618783
82,Gorzyce,R4,Gorzyce,Kościelna,618,1146,18.4008199,49.9571601
83,Gorzyce,R4,Gorzyce,Kozielska,580,892,18.3948079,49.9581335
84,Gorzyce,R4,Gorzyce,Mikolaja Kopernika,493,937,18.4060099,49.958902
85,Gorzyce,R4,Gorzyce,Ogrodowa,1004,1776,18.3900255,49.9535817
86,Gorzyce,R4,Gorzyce,Piaskowa,1278,1977,18.3974651,49.9688568
87,Gorzyce,R4,Gorzyce,Raciborska,1587,2773,18.3954466,49.959432
88,Gorzyce,R4,Gorzyce,Rybnicka,1637,2955,18.3998877,49.9591811
89,Gorzyce,R4,Gorzyce,Stawowa,630,992,18.3934478,49.9591083
90,Gorzyce,R4,Gorzyce,Strażacka,149,278,18.4000264,49.9579503
91,Gorzyce,R4,Gorzyce,Wiejska,1517,2769,18.3988678,49.9578393
92,Gorzyce,R4,Gorzyce,Wierzbowa,667,1099,18.3947988,49.9626725
93,Gorzyce,R4,Gorzyce,Wiśniowa,335,586,18.3884636,49.9638879
94,Gorzyce,R4,Gorzyce,Zamkowa,323,480,18.3799024,49.9634653
95,Gorzyce,R5,Czyżowice,Bełsznicka,2491,4594,18.3957727,49.979617
96,Gorzyce,R5,Czyżowice,Dworcowa,3674,6731,18.4227994,49.9782623
97,Gorzyce,R5,Czyżowice,Gorzycka,2427,4670,18.4048736,49.9840622
98,Gorzyce,R5,Czyżowice,Graniczna,110,137,18.4232976,49.9805456
99,Gorzyce,R5,Czyżowice,Nowa,2214,3895,18.4175863,49.9929958
100,Gorzyce,R5,Czyżowice,Parkowa,214,274,18.4236756,49.9744957
101,Gorzyce,R5,Czyżowice,Polna,2614,4474,18.4102385,49.9800801
102,Gorzyce,R5,Czyżowice,Rogowska,1566,2845,18.3965225,49.9887309
103,Gorzyce,R5,Czyżowice,Środkowa,1771,3401,18.4101959,49.983587
104,Gorzyce,R5,Czyżowice,Stawiska,56,136,18.4198858,49.9837224
105,Gorzyce,R5,Czyżowice,Strażacka,1583,2969,18.4143133,49.9801667
106,Gorzyce,R5,Czyżowice,Wiejska,2148,4114,18.4187706,49.9842373
107,Gorzyce,R5,Czyżowice,Wodzisławska,3068,5800,18.4051351,49.9842897
108,Gorzyce,R5,Gorzyce,Piaskowa,159,388,18.3974651,49.9688568
109,Gorzyce,R6,Turza Śl.,Bogumińska,2513,4280,18.4519419,49.9811686
110,Gorzyce,R6,Turza Śl.,Dalków,1280,2233,18.4395402,49.9758319
111,Gorzyce,R6,Turza Śl.,Graniczna,1842,2987,18.4622052,49.9618573
112,Gorzyce,R6,Turza Śl.,Kolejowa,1077,1800,18.4322076,49.9669706
113,Gorzyce,R6,Turza Śl.,Kosciuszki,2615,4668,18.4579525,49.9589882
114,Gorzyce,R6,Turza Śl.,Ligonia,1569,3055,18.4563744,49.9696686
115,Gorzyce,R6,Turza Śl.,Mszańska,2356,4135,18.4543278,49.9805182
116,Gorzyce,R6,Turza Śl.,Piaski,146,281,18.4606956,49.9768072
117,Gorzyce,R6,Turza Śl.,Polna,105,233,18.4469728,49.9820379
118,Gorzyce,R6,Turza Śl.,Powstańców,2377,4277,18.4473405,49.9692274
119,Gorzyce,R6,Turza Śl.,Rzeczna,407,827,18.4365237,49.9746304
120,Gorzyce,R6,Turza Śl.,Świerkowa,68,118,18.4668789,49.9773716
121,Gorzyce,R6,Turza Śl.,Tysiąclecia,1270,2439,18.4520731,49.9686214
122,Gorzyce,R6,Turza Śl.,W.Korfantego,446,804,18.4369252,49.9744152
123,Gorzyce,R6,Turza Śl.,Wodzisławska,1800,2966,18.4582377,49.9620004
124,Gorzyce,R6,Turza Śl.,Wspólna,359,661,18.4470941,49.974204
125,Gorzyce,R6,Turza Śl.,Zwycięstwa,1382,2448,19.3798023,50.4595835
126,Gorzyce,R7,Gorzyce,Polna,924,1481,18.4032541,49.9541053
127,Gorzyce,R8,Bluszczów,Dworcowa,21,46,18.3272773,49.9911233
128,Gorzyce,R8,Bluszczów,Kamieńska,31,46,18.3245011,49.9915759
129,Gorzyce,R8,Bluszczów,Środkowa,70,137,18.3302519,49.9918999
130,Gorzyce,R8,Czyżowice,Dworcowa,42,93,18.4227994,49.9782623
131,Gorzyce,R8,Czyżowice,Nowa,63,162,18.4175863,49.9929958
132,Gorzyce,R8,Czyżowice,Wiejska,31,72,18.4187706,49.9842373
133,Gorzyce,R8,Czyżowice,Wodzisławska,63,101,18.4051351,49.9842897
134,Gorzyce,R8,Gorzyce,Olchowa,91,100,18.3905628,49.9608417
135,Gorzyce,R8,Gorzyce,Piaskowa,29,34,18.3974651,49.9688568
136,Gorzyce,R8,Gorzyce,Poprzeczna,40,54,18.3815951,49.9668232
137,Gorzyce,R8,Gorzyce,Raciborska,79,179,18.3954466,49.959432
138,Gorzyce,R8,Gorzyce,Wiejska,33,93,18.3988678,49.9578393
139,Gorzyce,R8,Gorzyce,Wierzbowa,200,350,18.3947988,49.9626725
140,Gorzyce,R8,Olza,Grobla,56,89,18.3541822,49.95492
141,Gorzyce,R8,Olza,Kościelna,96,209,18.3426635,49.9507206
142,Gorzyce,R8,Rogów,Dębowa,80,140,18.3687354,49.9978008
143,Gorzyce,R8,Rogów,Krótka,62,85,18.3476248,49.9932028
144,Gorzyce,R8,Rogów,Leśna,225,497,18.3532571,49.9888679
145,Gorzyce,R8,Rogów,Parkowa,55,62,18.3503561,49.9853723
146,Gorzyce,R8,Rogów,Raciborska,334,605,18.3521756,49.9888645
147,Gorzyce,R8,Rogów,Wiejska,72,136,18.3544304,49.9881574
148,Gorzyce,R8,Rogów,Wrzosowa,25,34,18.3676329,49.9923843
149,Gorzyce,R8,Rogów,Wytrzęsów,1,4,18.3486111,49.9933333
150,Gorzyce,R8,Rogów,Wyzwolenia,450,852,18.3582338,49.9969979
151,Gorzyce,R8,Turza Śl.,Bogumińska,488,871,18.4519419,49.9811686
152,Gorzyce,R8,Turza Śl.,Kosciuszki,59,72,18.4579525,49.9589882
153,Gorzyce,R8,Turza Śl.,Ligonia,53,79,18.4563744,49.9696686
154,Gorzyce,R8,Turza Śl.,Powstańców,171,269,18.4473405,49.9692274
155,Gorzyce,R8,Turza Śl.,Tysiąclecia,35,89,18.4520731,49.9686214
156,Gorzyce,R8,Turza Śl.,Wodzisławska,95,130,18.4582377,49.9620004
157,Gorzyce,WIE,Gorzyce,Bogumińska,16,303,18.3771979,49.9562562
158,Gorzyce,WIE,Gorzyce,Zamkowa,26,99,18.3799024,49.9634653
159,Gorzyce,WIE,Gorzyczki,Kopalniana,47,219,18.408332,49.9540266
160,Gorzyce,WIE,Gorzyczki,Leśna,89,375,18.4260605,49.9573501
161,Gorzyce,WIE,Gorzyczki,Wiejska,36,149,18.4035726,49.9467849
162,Gorzyce,WIE,Olza,Dworcowa,71,252,18.3354635,49.9696087
163,Gorzyce,WIE,Turza Śl.,Wodzisławska,17,72,18.4582377,49.9620004
