powiat,miejscowosc,ulica,numer,ilosc_koszy,ilosc_posesji,latitude,longitude
Wodzisławski,Gorzyczki,Słowikowa,2,2,1,49.954165,18.4194052
Wodzisławski,Gorzyczki,Wiejska,57,423,141,49.94579135,18.4016879812245
Wodzisławski,Gorzyczki,Zdrojowa,11,22,11,49.9575009,18.4168183
Wodzisławski,Gorzyczki,Łączna,5,18,9,49.95008145,18.4026253462747
Wodzisławski,Odra,Główna,30,130,65,49.9696106,18.3260378532904
Wodzisławski,Odra,Krótka,2,10,5,49.9708001,18.3243541996883
Wodzisławski,Odra,Nowa,5,14,7,49.97788985,18.3136684948864
Wodzisławski,Odra,Polna,5,22,11,49.9748589,18.3215651348474
Wodzisławski,Odra,Rogowska,9,51,17,49.9721466,18.3259158070715
Wodzisławski,Olza,Bogumińska,36,156,78,49.9538632,18.3358752
Wodzisławski,Olza,Dworcowa,54,232,116,49.9588702,18.3381021651807
Wodzisławski,Olza,Grobla,2,6,3,49.95492,18.3541822
Wodzisławski,Olza,Kolejowa,1,8,2,49.95883185,18.3319066033149
Wodzisławski,Olza,Kościelna,13,86,43,49.9505659,18.3420666103606
Wodzisławski,Olza,Nowa,4,16,8,49.9513664,18.3455348
Wodzisławski,Olza,Polna,8,26,13,49.96095915,18.3420647490678
Wodzisławski,Olza,Poprzeczna,5,14,7,49.96286645,18.3386495965637
Wodzisławski,Olza,Stawowa,3,12,6,49.9497349,18.3443640084572
Wodzisławski,Olza,Szkolna,12,54,27,49.9500635,18.3467802621549
Wodzisławski,Olza,Słoneczna,11,50,25,49.95380625,18.3491600693243
Wodzisławski,Olza,Wałowa,0,3,1,49.9456107,18.3504336
Wodzisławski,Olza,Wiejska,24,90,45,49.94858435,18.3419030120932
Wodzisławski,Olza,Wierzbowa,3,10,5,49.95205805,18.3495891829802
Wodzisławski,Olza,Zwycięstwa,11,28,14,49.9482481,18.3444618
Wodzisławski,Osiny,7 Kwietnia,7,36,18,49.9730304,18.3844782406364
Wodzisławski,Osiny,Kolejowa,11,58,29,49.9728797,18.3824827691292
Wodzisławski,Osiny,Osińska,17,6,3,49.9772376,18.3860092
Wodzisławski,Osiny,Poprzeczna,12,50,25,49.96732785,18.3816612059431
Wodzisławski,Osiny,Raciborska,72,96,48,49.9738538,18.3693441558766
Wodzisławski,Osiny,Łąkowa,6,12,6,49.970088,18.372521
