gmina,rejon,miejscowosc,ulica,ilosc posesji,ilosc koszy
Gorzyce,R6,Turza Śl.,Mszańska,2356,4135
Gorzyce,R6,Turza Śl.,Piaski,146,281
Gorzyce,R6,Turza Śl.,Polna,105,233
Gorzyce,R6,Turza Śl.,Powstańców,2377,4277
Gorzyce,R6,Turza Śl.,Rzeczna,407,827
Gorzyce,R6,Turza Śl.,Świerkowa,68,118
Gorzyce,R6,Turza Śl.,Tysiąclecia,1270,2439
Gorzyce,R6,Turza Śl.,W.Korfantego,446,804
Gorzyce,R6,Turza Śl.,Wodzisławska,1800,2966
Gorzyce,R6,Turza Śl.,Wspólna,359,661
Gorzyce,R6,Turza Śl.,Zwycięstwa,1382,2448
Gorzyce,R7,Gorzyce,Polna,924,1481
Gorzyce,R8,Bluszczów,Dworcowa,21,46
Gorzyce,R8,Bluszczów,Kamieńska,31,46
Gorzyce,R8,Bluszczów,Środkowa,70,137
Gorzyce,R8,Czyżowice,Dworcowa,42,93
Gorzyce,R8,Czyżowice,Nowa,63,162
Gorzyce,R8,Czyżowice,Wiejska,31,72
Gorzyce,R8,Czyżowice,Wodzisławska,63,101
Gorzyce,R8,Gorzyce,Olchowa,91,100
Gorzyce,R8,Gorzyce,Piaskowa,29,34
Gorzyce,R8,Gorzyce,Poprzeczna,40,54
Gorzyce,R8,Gorzyce,Raciborska,79,179
Gorzyce,R8,Gorzyce,Wiejska,33,93
Gorzyce,R8,Gorzyce,Wierzbowa,200,350
Gorzyce,R8,Olza,Grobla,56,89
Gorzyce,R8,Olza,Kościelna,96,209
Gorzyce,R8,Rogów,Dębowa,80,140
Gorzyce,R8,Rogów,Krótka,62,85
Gorzyce,R8,Rogów,Leśna,225,497
Gorzyce,R8,Rogów,Parkowa,55,62
Gorzyce,R8,Rogów,Raciborska,334,605
Gorzyce,R8,Rogów,Wiejska,72,136
Gorzyce,R8,Rogów,Wrzosowa,25,34
Gorzyce,R8,Rogów,Wytrzęsów,1,4
Gorzyce,R8,Rogów,Wyzwolenia,450,852
Gorzyce,R8,Turza Śl.,Bogumińska,488,871
Gorzyce,R8,Turza Śl.,Kosciuszki,59,72
Gorzyce,R8,Turza Śl.,Ligonia,53,79
Gorzyce,R8,Turza Śl.,Powstańców,171,269
Gorzyce,R8,Turza Śl.,Tysiąclecia,35,89
Gorzyce,R8,Turza Śl.,Wodzisławska,95,130
Gorzyce,WIE,Gorzyce,Bogumińska,16,303
Gorzyce,WIE,Gorzyce,Zamkowa,26,99
Gorzyce,WIE,Gorzyczki,Kopalniana,47,219
Gorzyce,WIE,Gorzyczki,Leśna,89,375
Gorzyce,WIE,Gorzyczki,Wiejska,36,149
Gorzyce,WIE,Olza,Dworcowa,71,252
Gorzyce,WIE,Turza Śl.,Wodzisławska,17,72
